Name,COUNTRY,100mHurdles(S),HighJump(m),ShotPut(m),200m(sec),LongJump(m),Javelin(m),r800m(s)
Azzizi Yasmina,ALG,13.64,1.6,14.17,24.59,5.88,46.28,141.82
Bacher Gertrud,ITA,13.82,1.75,12.75,24.96,5.84,41.14,129.08
Biswas Soma,IND,14.11,1.63,11.69,24.73,5.64,39.59,142.17
Braun Sabine,GER,13.49,1.81,14.33,24.74,6.22,48.56,139.14
Ganapathy G. Pramila,IND,14.22,1.69,11.14,24.69,5.96,36.02,140.86
Garcva Magalys,CUB,13.46,1.66,13.29,24.58,5.92,50.31,139.64
Hautala Tiia,FIN,13.62,1.78,13.31,25,6.12,45.4,134.9
Jamieson Jane,AUS,14.09,1.81,13.59,25.27,6.09,45.32,136.57
Kabanova Sofiya,UZB,14.89,1.72,11.56,27.27,5.22,36.61,140.11
Kazanina Svetlana,KZK,14.71,1.75,12.97,25.04,5.84,43.53,130.45
Koritskaya Diana,RUS,13.88,1.72,13.53,24.08,5.56,40.67,129.77
Kovalenko Lyudmilla,UKR,15.12,1.72,13.57,26.36,5.57,42.5,133.52
Lewis Denise,GBR,13.23,1.75,15.55,24.34,6.48,50.19,136.83
Mark Marsha,TRI,13.72,1.66,11.44,25.35,5.9,48.99,152.36
Nathan Le Shundra,USA,13.74,1.78,14.22,24.84,6.06,43.48,136.67
Naumenko Irina,KZK,14.26,1.84,11.26,25.19,5.88,32.53,138.49
Prokhorova Yelena,RUS,13.63,1.81,13.21,23.72,6.59,45.05,130.32
Rajamaki Susanna,FIN,13.6,1.66,13.87,24.03,6.36,37,138.47
Roshchupkina Natalya,RUS,13.7,1.84,14.03,23.53,5.47,43.87,132.24
Sazanovich Natalya,BLR,13.45,1.84,14.79,24.12,6.5,43.97,136.41
Skujyte Austra,LIT,14.37,1.78,15.09,25.35,5.97,45.43,140.25
Specht-Ertl Karin,GER,13.43,1.78,13.55,24.64,6.22,42.7,136.25
Teppe Nathalie,FRA,14.02,1.72,13.44,26.39,5.94,46.98,138.56
Teteryuk Larisa,UKR,14.53,1.72,13.56,25.76,5.89,44.57,139.94
Tigau Viorica,ROM,13.39,1.72,11.53,24.8,6.01,43.48,139.65
Wlodarczyk Ursula,POL,13.33,1.78,14.45,24.29,6.31,46.16,132.12
